trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.7, 'e': 0.0045045045045045045}",30,4,37.277465819027256,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.004464285714285714}",20,13,11.444726471446257,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.004424778761061947}",30,23,12.548092814001501,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.0043859649122807015}",30,13,26.099784121206653,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.004347826086956522}",25,17,13.256690949406082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.004310344827586207}",25,6,29.37215403307588,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.004273504273504274}",20,3,26.376308889609007,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.00423728813559322}",20,14,11.590364466667975,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.004201680672268907}",25,7,32.00327031587433,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.004166666666666667}",30,18,20.280659027860303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.004132231404958678}",25,3,31.457452619631777,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.004098360655737705}",25,8,25.066300528129645,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.0040650406504065045}",30,14,32.67198311905106,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.004032258064516129}",35,22,22.70266260239672,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.004}",20,11,16.878468245476235,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.003968253968253968}",25,0,32.70298099301415,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.7, 'e': 0.003937007874015748}",20,15,5.521745454132759,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.00390625}",25,16,17.459849720848972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.003875968992248062}",20,0,33.07923910277696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.0038461538461538464}",20,6,24.254110594735792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.003816793893129771}",30,18,17.45360774935649,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.003787878787878788}",30,18,22.85482162084329,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.0037593984962406013}",30,15,24.321594908982878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.0037313432835820895}",20,6,20.77109909187323,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.003703703703703704}",20,8,18.902663784987006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.003676470588235294}",25,11,22.13723570578301,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.0036496350364963502}",30,16,13.359997966627269,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.0036231884057971015}",20,9,17.927132023181255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.0035971223021582736}",25,0,33.30913777405316,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.7, 'e': 0.0035714285714285713}",25,0,37.974084898455466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.0035460992907801418}",20,5,25.093133881649717,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.0035211267605633804}",25,18,2.4730969567386953,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.0034965034965034965}",35,17,34.08705934755075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.003472222222222222}",25,18,12.53536560698927,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.0034482758620689655}",25,0,37.40648053459684,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.7, 'e': 0.003424657534246575}",20,13,11.162905115545955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.003401360544217687}",20,12,11.430866146053566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.0033783783783783786}",25,11,21.74350487923606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.003355704697986577}",25,19,9.638644353524397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.0033333333333333335}",25,14,14.733381806962319,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.0033112582781456954}",25,18,11.505731746295615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.003289473684210526}",20,2,28.34301424511405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.0032679738562091504}",20,0,26.4281005251815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.003246753246753247}",25,8,27.51517270770413,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.0032258064516129032}",25,13,25.222882501213448,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.003205128205128205}",20,10,19.850672231433407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.0031847133757961785}",25,2,35.15184650275583,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.0031645569620253164}",25,11,20.320214376543912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.0031446540880503146}",20,8,22.04193610988687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.003125}",25,11,21.95922559849377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.003105590062111801}",30,14,25.273100850534433,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.0030864197530864196}",30,19,20.52242659813772,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.003067484662576687}",25,12,19.825622298700793,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.003048780487804878}",20,0,27.378145965656365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.7, 'e': 0.0030303030303030303}",20,3,25.639878764978917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.0030120481927710845}",30,8,32.51799456469345,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.0029940119760479044}",25,17,13.122443762508361,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
