models,r2_score,mean_abs_error,execution_time
DT:2,0.72126808541083,112554.64855592376,0.001003265380859375
DT:3,0.7597562451149418,105876.2744786328,0.001003265380859375
DT:4,0.7669622741265477,105140.43125328042,0.002004384994506836
DT:5,0.765677881998309,105271.08569493526,0.0010023117065429688
DT:6,0.7529316196239724,108286.11866874392,0.0010018348693847656
DT:7,0.7405985920354552,110027.7534769408,0.0025055408477783203
DT:8,0.7277303701282358,113297.17703296631,0.0
DT:9,0.7114444566024984,114928.8642714021,0.0
DT:10,0.7007387559958378,116494.18801997232,0.0
DT:11,0.6792406147564211,120256.2061331211,0.0
DT:12,0.6725490707292934,121764.62137667542,0.002009868621826172
DT:13,0.6559495044025168,124924.94564503938,0.0030069351196289062
DT:14,0.6460055616968865,126137.8499928981,0.004040718078613281
DT:15,0.6423393068787172,127282.484427458,0.002000093460083008
